date_scanned,ticker,archetype,total_score,category_a,category_b,category_c,category_d,category_e,price_at_scan,pct_off_high_at_scan,a1_pctoffhigh,a2_rsi,a3_williams,a4_stochastic,a5_bollinger,a6_support,a7_peg_lt1,a8_cyclical_judgment,b9_mktcap,b10_grossmargin,b11_opmargin,b12_netmargin,b13_roe,b14_roa,b15_dividend,b16_epstrend,b17_leverage_judgment,c18_macd,c19_ema,c20_aroon,c21_adx,c22_relvol,c23_rsirecross,d24_epsbeat,d25_noearnings2wk,d26_tailwind_judgment,d27_catalyst_judgment,d28_pegroe_combo,e29_liquidity,e30_not_concentrated,e31_iv_extreme,e32_fitstyle_judgment,b33_domainleadership_judgment,outcome_1q,outcome_1y
2026-07-07,MWH,compounder,N/A,N/A,N/A,N/A,N/A,N/A,28.73,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,,
2026-07-07,BVN,compounder,N/A,N/A,N/A,N/A,N/A,N/A,28.955,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,,
2026-07-07,PEGA,compounder,24,N/A,14,N/A,6,4,32.08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,2,N/A,3,2,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,3,2,N/A,N/A,2,2,,
2026-07-07,WFRD,compounder,22,N/A,13,N/A,6,3,83.4475,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,2,N/A,3,2,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,3,2,N/A,N/A,1,2,,
2026-07-07,OII,compounder,19,N/A,11,N/A,6,2,39.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,0,2,N/A,3,2,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,3,1,N/A,N/A,1,2,,
2026-07-07,XZO,compounder,N/A,N/A,N/A,N/A,N/A,N/A,18.76,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,,
2026-07-07,LTM,compounder,19,N/A,10,N/A,6,3,57.43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,0,2,N/A,3,2,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,3,2,N/A,N/A,1,2,,
2026-07-07,CVNA,compounder,20,N/A,10,N/A,7,3,69.94,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,0,2,N/A,3,2,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,2,3,2,N/A,N/A,1,2,,
2026-07-07,GEV,compounder,25,N/A,12,N/A,9,4,1051.28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,0,2,N/A,3,2,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,2,3,2,N/A,N/A,2,5,,
2026-07-07,RSI,compounder,N/A,N/A,N/A,N/A,N/A,N/A,32.23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,,
2026-07-07,RCI,compounder,20,N/A,12,N/A,5,3,32.33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,2,N/A,3,2,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,3,2,N/A,N/A,1,2,,
2026-07-07,CGAU,compounder,N/A,N/A,N/A,N/A,N/A,N/A,16.18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,,
2026-07-07,PPC,compounder,17,N/A,11,N/A,4,2,28.775,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,0,2,N/A,3,2,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,3,1,N/A,N/A,1,2,,
2026-07-07,CRDO,compounder,27,N/A,14,N/A,9,4,246.42,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,2,N/A,3,2,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,2,3,2,N/A,N/A,2,2,,
2026-07-07,DHT,compounder,N/A,N/A,N/A,N/A,N/A,N/A,17.27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,,
2026-07-07,ATAT,compounder,N/A,N/A,N/A,N/A,N/A,N/A,32.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,,
2026-07-07,BLKB,compounder,18,N/A,10,N/A,5,3,30.635,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,2,2,N/A,3,2,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,3,1,N/A,N/A,2,2,,
