date_scanned,ticker,archetype,total_score,category_a,category_b,category_c,category_d,category_e,price_at_scan,pct_off_high_at_scan,outcome_1q,outcome_1y
2026-07-07,VG,compounder,22,,13,,5,4,,,,
2026-07-07,MELI,compounder,22,,11,,6,5,,,,
2026-07-07,CENX,compounder,21,,11,,5,5,,,,
2026-07-07,MRX,compounder,25,,13,,7,5,,,,
2026-07-07,CPA,compounder,23,,13,,5,5,,,,
2026-07-07,NXPI,compounder,26,,13,,8,5,,,,
2026-07-07,NVDA,compounder,26,,13,,8,5,,,,
2026-07-07,ADEA,compounder,25,,13,,7,5,,,,
2026-07-07,ROST,compounder,24,,13,,6,5,,,,
2026-07-07,RL,compounder,23,,13,,5,5,,,,
2026-07-07,ENR,compounder,20,,10,,5,5,,,,
2026-07-07,SYY,compounder,24,,13,,6,5,,,,
2026-07-07,BLBD,compounder,21,,11,,5,5,,,,
2026-07-07,EXEL,compounder,23,,11,,7,5,,,,
2026-07-07,VIRT,compounder,24,,13,,6,5,,,,
2026-07-07,SEZL,compounder,23,,11,,7,5,,,,
2026-07-07,AIZ,moonshot_growth,13,,6,,3,4,,,,
2026-07-07,CNA,moonshot_growth,12,,6,,3,3,,,,
2026-07-07,CRL,moonshot_growth,12,,4,,3,5,,,,
2026-07-07,TECH,moonshot_growth,14,,6,,3,5,,,,
2026-07-07,APGE,moonshot_growth,12,,4,,3,5,,,,
2026-07-07,CORT,moonshot_growth,12,,4,,3,5,,,,
2026-07-07,COMP,moonshot_growth,12,,4,,3,5,,,,
2026-07-07,ALKS,moonshot_growth,12,,4,,3,5,,,,
2026-07-07,VOYA,moonshot_growth,14,,6,,3,5,,,,
2026-07-07,PTGX,moonshot_growth,12,,4,,3,5,,,,
2026-07-07,FSS,moonshot_growth,13,,6,,2,5,,,,
2026-07-07,THG,moonshot_growth,14,,6,,3,5,,,,
2026-07-07,LOAR,moonshot_growth,14,,4,,5,5,,,,
2026-07-07,GOLF,moonshot_growth,13,,6,,2,5,,,,
2026-07-07,CACC,moonshot_growth,12,,4,,3,5,,,,
2026-07-07,LGND,moonshot_growth,12,,4,,3,5,,,,
2026-07-07,CVLT,moonshot_growth,13,,4,,4,5,,,,
2026-07-07,DFTX,moonshot_growth,12,,4,,3,5,,,,
2026-07-07,ENVA,moonshot_growth,12,,4,,3,5,,,,
2026-07-07,RLI,moonshot_growth,14,,6,,3,5,,,,
2026-07-07,ACIW,moonshot_growth,13,,4,,4,5,,,,
2026-07-07,AX,moonshot_growth,11,,4,,3,4,,,,
2026-07-07,FTDR,moonshot_growth,11,,4,,2,5,,,,
2026-07-07,LMND,moonshot_growth,12,,4,,3,5,,,,
2026-07-07,TFSL,moonshot_growth,13,,6,,3,4,,,,
2026-07-07,ALHC,moonshot_growth,12,,4,,3,5,,,,
2026-07-07,SLGN,moonshot_growth,13,,6,,2,5,,,,
2026-07-07,HHH,moonshot_growth,11,,4,,3,4,,,,
2026-07-07,CDP,moonshot_growth,14,,6,,3,5,,,,
2026-07-07,IPAR,moonshot_growth,13,,6,,2,5,,,,
2026-07-07,WSBC,moonshot_growth,14,,6,,3,5,,,,
2026-07-07,GPCR,moonshot_growth,12,,4,,3,5,,,,
2026-07-07,PLMR,moonshot_growth,12,,4,,3,5,,,,
2026-07-07,HIW,moonshot_growth,14,,6,,3,5,,,,
2026-07-07,PRVA,moonshot_growth,12,,4,,3,5,,,,
2026-07-07,RARE,moonshot_growth,12,,4,,3,5,,,,
2026-07-07,HNI,moonshot_growth,14,,6,,3,5,,,,
2026-07-07,MGNI,moonshot_growth,13,,4,,4,5,,,,
2026-07-07,GRND,moonshot_growth,13,,4,,4,5,,,,
2026-07-07,DCO,moonshot_growth,14,,4,,5,5,,,,
2026-07-07,WLYB,moonshot_growth,12,,6,,3,3,,,,
2026-07-07,PAYO,moonshot_growth,12,,4,,3,5,,,,
2026-07-07,PGNY,moonshot_growth,12,,4,,3,5,,,,
2026-07-07,HMN,moonshot_growth,13,,6,,3,4,,,,
2026-07-07,UFPT,moonshot_growth,11,,4,,2,5,,,,
2026-07-07,ATEX,moonshot_growth,11,,4,,2,5,,,,
2026-07-07,AVAH,moonshot_growth,12,,4,,3,5,,,,
2026-07-07,NEO,moonshot_growth,9,,1,,3,5,,,,
2026-07-07,WLFC,moonshot_growth,11,,3,,3,5,,,,
2026-07-07,INNV,moonshot_growth,10,,1,,4,5,,,,
2026-07-07,XERS,moonshot_growth,9,,1,,3,5,,,,
2026-07-07,NUTX,moonshot_growth,9,,1,,3,5,,,,
2026-07-07,PNTG,moonshot_growth,9,,1,,3,5,,,,
2026-07-07,BH,moonshot_growth,9,,1,,3,5,,,,
2026-07-07,GSHD,moonshot_growth,9,,1,,3,5,,,,
2026-07-07,SLDB,moonshot_growth,9,,1,,3,5,,,,
2026-07-07,QNST,moonshot_growth,9,,1,,3,5,,,,
2026-07-07,TDUP,moonshot_growth,9,,1,,3,5,,,,
2026-07-07,EVER,moonshot_growth,10,,1,,4,5,,,,
2026-07-07,HSTM,moonshot_growth,12,,3,,4,5,,,,
2026-07-07,GCMG,moonshot_growth,14,,6,,3,5,,,,
2026-07-07,XOMA,moonshot_growth,9,,1,,3,5,,,,
2026-07-07,MAX,moonshot_growth,10,,1,,4,5,,,,
2026-07-07,RIGL,moonshot_growth,9,,1,,3,5,,,,
2026-07-07,TCMD,moonshot_growth,9,,1,,3,5,,,,
2026-07-07,RGNX,moonshot_growth,9,,1,,3,5,,,,
2026-07-07,KRT,moonshot_growth,10,,3,,2,5,,,,
2026-07-07,GCBC,moonshot_growth,11,,3,,3,5,,,,
2026-07-07,BME,moonshot_growth,9,,3,,2,4,,,,
2026-07-07,ITIC,moonshot_growth,11,,3,,3,5,,,,
2026-07-07,TBRG,moonshot_growth,9,,1,,3,5,,,,
2026-07-07,ELMD,moonshot_growth,9,,1,,3,5,,,,
2026-07-07,DAVE,moonshot_growth,12,,4,,3,5,,,,
2026-07-07,ACAD,moonshot_growth,12,,4,,3,5,,,,
2026-07-07,SEZL,moonshot_growth,13,,4,,4,5,,,,
2026-07-07,NVO,steady_value,15,,9,,3,3,,,,
2026-07-07,VZ,steady_value,14,,9,,2,3,,,,
2026-07-07,GILD,steady_value,15,,9,,3,3,,,,
2026-07-07,BMY,steady_value,15,,9,,3,3,,,,
2026-07-07,GSK,steady_value,15,,9,,3,3,,,,
2026-07-07,NEM,steady_value,14,,9,,2,3,,,,
2026-07-07,PBR,steady_value,14,,9,,2,3,,,,
2026-07-07,ADBE,steady_value,16,,9,,4,3,,,,
2026-07-07,CMCSA,steady_value,15,,9,,3,3,,,,
2026-07-07,ACN,steady_value,16,,9,,4,3,,,,
2026-07-07,NTES,steady_value,16,,9,,4,3,,,,
2026-07-07,EPD,steady_value,14,,9,,2,3,,,,
2026-07-07,NOC,steady_value,17,,9,,5,3,,,,
2026-07-07,AMX,steady_value,14,,9,,2,3,,,,
2026-07-07,AEM,steady_value,14,,9,,2,3,,,,
2026-07-07,INTU,steady_value,16,,9,,4,3,,,,
2026-07-07,SPG,steady_value,15,,9,,3,3,,,,
2026-07-07,EOG,steady_value,14,,9,,2,3,,,,
2026-07-07,MPLX,steady_value,14,,9,,2,3,,,,
2026-07-07,OKE,steady_value,14,,9,,2,3,,,,
2026-07-07,BKR,steady_value,14,,9,,2,3,,,,
2026-07-07,ABEV,steady_value,14,,9,,2,3,,,,
2026-07-07,DVN,steady_value,14,,9,,2,3,,,,
2026-07-07,INFY,steady_value,16,,9,,4,3,,,,
2026-07-07,AU,steady_value,14,,9,,2,3,,,,
2026-07-07,PYPL,steady_value,15,,9,,3,3,,,,
2026-07-07,CCL,steady_value,15,,9,,3,3,,,,
2026-07-07,ERIC,steady_value,17,,9,,5,3,,,,
2026-07-07,RYAAY,steady_value,14,,9,,2,3,,,,
2026-07-07,ZTS,steady_value,15,,9,,3,3,,,,
2026-07-07,LVS,steady_value,15,,9,,3,3,,,,
2026-07-07,GEHC,steady_value,15,,9,,3,3,,,,
2026-07-07,KGC,steady_value,14,,9,,2,3,,,,
2026-07-07,EIX,steady_value,14,,9,,2,3,,,,
2026-07-07,PPG,steady_value,14,,9,,2,3,,,,
2026-07-07,WTW,steady_value,15,,9,,3,3,,,,
2026-07-07,ZM,steady_value,16,,9,,4,3,,,,
2026-07-07,PHM,steady_value,14,,9,,2,3,,,,
2026-07-07,TROW,steady_value,15,,9,,3,3,,,,
2026-07-07,FSLR,steady_value,17,,9,,5,3,,,,
2026-07-07,STZ,steady_value,14,,9,,2,3,,,,
2026-07-07,AER,steady_value,15,,9,,3,3,,,,
2026-07-07,FOX,steady_value,15,,9,,3,3,,,,
2026-07-07,EXE,steady_value,14,,9,,2,3,,,,
